0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,user,party
3.439612,-3.6724126,2.2957458,-1.2471476,-2.0824254,0.87121016,1.7651849,-3.8251157,1.1809564,-0.48040324,-3.1046991,2.9451845,-0.34375814,2.608414,2.2500606,-4.6649184,3.0786533,0.34148005,0.44408876,-1.9623967,-4.146182,-0.5314981,-2.122004,-0.4879341,0.71983314,0.23771219,1.1732581,-0.9623202,0.4259798,-3.5366712,1.6903921,-3.7692235,0.329182,1.3134292,1.2131068,-1.5814191,-0.7970667,-0.3177501,-2.3451698,1.7327571,1.0937632,0.21491101,-2.7471898,-0.65034515,-1.6222756,-2.0274656,-1.2408775,-0.040931813,-2.6228826,3.457908,-0.69018126,3.6530628,1.7812889,2.093698,3.7757757,1.5820721,-1.3263767,3.1011105,-3.6447072,-2.4469244,1.8938972,-6.2386794,3.6775906,0.8571625,0.5639999,-2.416714,3.046001,3.4039836,-0.28917018,1.5660225,-1.6192611,-0.85386604,-0.95766544,4.5127254,3.0436935,2.3048227,-0.39109418,3.5503597,0.15867305,-2.5565453,0.6851841,-0.54411817,1.6353538,-1.7075815,0.7111455,-0.32161787,-2.981955,1.1627803,-1.7930762,-5.960978,-5.9275513,1.8867106,0.41115138,0.6780028,1.3443011,2.0523648,-3.4767783,-1.1889862,0.9142954,1.2978395,0.91671693,0.52106917,-3.8808856,-7.053839,3.8671591,-3.415971,1.6832111,1.304436,0.41792825,1.2185014,5.009526,-0.11543243,-2.8361597,-0.99508876,1.777615,-0.34416568,2.8383446,-1.8413812,-0.22987887,0.0730906,-2.0052898,-0.9850852,-0.20670153,0.34623343,-3.6313903,-0.2659721,1.7839397,1.353772,2.2214024,4.953325,-0.10364277,4.252759,1.1406186,-0.22850393,-0.5421634,-1.123548,-0.70880044,-2.8347387,3.7782238,-0.71470827,3.042702,2.8294244,-1.7037406,1.1959579,-1.7405435,-1.2725744,2.0095189,-1.3796009,-0.2941229,1.6135696,-5.5208807,-1.4426415,0.75772524,1.2606043,1.4295579,-2.5248256,0.96145576,-3.852521,-4.8893876,1.9450043,0.17551617,3.6250818,-1.3224351,0.58846277,-2.3720427,0.5289604,2.2552273,-0.55098283,-2.3706279,-1.0761497,-0.4141318,0.25895342,0.44884545,-2.6745183,1.9096794,-0.7016399,-4.1919055,3.2880418,-0.34846205,1.6364084,1.47256,0.4408372,1.5513761,-0.21413015,-4.95455,-0.26839513,3.3353286,-0.2746575,-1.2081406,1.428825,2.6328382,-0.69107884,4.52462,2.646747,-1.2236482,-0.8781991,-1.9726938,-2.0329957,-1.8902454,0.8359629,AustinScottGA08,R
0.38889536,-4.4378924,1.8739735,4.2551208,-2.203573,-3.5441887,-1.0840906,-1.4004056,-0.014305779,1.0110607,0.2727133,0.3137636,1.4642452,-3.7069988,-0.77366513,-0.3530072,-1.9146323,5.992997,-0.32964125,-1.8697689,-2.2309208,-3.4162846,-6.0624456,-0.04708233,-3.7176595,2.0937548,0.62623996,-3.14079,1.3089396,-2.2203333,-2.5517833,-2.7296078,3.964324,-2.437356,-0.9846936,3.7705874,-0.41126236,6.3641443,2.0089667,-4.0422316,1.2792096,-1.6320456,4.2803183,1.0201901,0.1119569,1.7162846,-2.602422,3.5534534,-0.67047185,3.2372866,-0.6835374,2.9542165,0.42427635,0.9013507,1.842939,-3.5608695,-2.2730186,-3.372842,-3.0991611,-0.18746892,-2.2675402,0.5110463,-2.8038235,-2.091884,-3.923613,-2.7558334,0.19605815,0.38059768,0.29362696,-2.7064595,0.6028452,4.2474422,-1.9865776,0.90161854,6.3076854,3.0840864,1.860073,0.987366,3.1848993,1.7834026,5.0156827,3.909762,0.48667413,5.720742,-2.89293,1.712807,-1.9076167,-0.88968444,3.085822,6.262315,1.7981887,-2.2579901,-3.9491866,5.4636927,-1.0678217,0.74996895,-2.0267482,5.8174024,-0.6880364,2.5348785,1.8214813,2.463735,0.9309951,0.28265923,1.7525933,1.0114892,2.0424101,1.4778619,-3.2445216,0.22819823,0.030488642,-1.0891148,-2.2197127,0.5827036,0.71381295,-1.281442,1.4945568,1.0069966,3.2304761,1.8056469,-0.9056327,2.8664234,2.8220391,0.0640603,2.0205379,-0.13476351,0.74958247,3.8618193,1.4801037,-1.5345402,0.06331412,0.6293853,-3.871587,0.5589015,-0.19404525,1.2617021,0.20135005,1.518138,-0.32658368,-5.385244,0.54415953,-4.221114,0.3393098,0.28249028,-0.68474436,1.7948565,4.8156013,-4.2164645,2.0268009,5.880958,-2.5744305,-0.71080405,3.1465244,-6.553971,-1.8078679,3.5081031,1.787392,-2.4105763,-0.106692486,-1.1023189,-0.8958603,2.3389788,0.498216,0.63077015,-0.90940267,3.2369971,-0.22645764,1.6160687,1.5595214,1.305127,-0.31769142,-1.4424305,0.70813894,-2.943608,-3.4372673,-1.720898,-1.1371448,0.41226116,-0.661127,3.296315,1.8970201,-1.3490496,6.859302,-1.557103,3.7711298,0.7989403,4.0031176,-2.173899,-5.143589,-0.48196363,2.7350457,-0.53262466,-1.792094,0.16481689,2.6181943,1.6856558,-3.8585835,-4.7394876,-2.4504738,-0.097394034,BennieGThompson,D
-1.2492357,1.9447714,-5.079952,-2.1394455,4.7696977,-0.5256822,1.3543243,2.4392927,2.2310116,-0.42755243,0.031076191,3.078132,-2.9865553,-0.39760122,-7.058284,-1.7308569,1.1413774,-4.5850883,0.83199644,-1.4652776,2.4371533,-3.1596193,-0.41747767,1.6728691,-1.7974324,2.8937106,-1.3485881,1.2249379,-0.6045518,3.7619367,1.1026154,-2.5179224,-3.7293987,0.5407259,-2.153398,3.30155,-1.7380117,1.6499207,2.0054522,-1.4402148,4.253468,0.2889285,0.03352845,-2.3269613,3.5767274,0.97031283,1.4021311,1.1928836,-0.34654966,0.29241982,1.879182,-1.8620735,0.0961683,0.72367734,0.40340334,0.773368,2.8297813,-2.4745657,2.3422267,-1.0986096,3.767316,-0.6013113,-1.4002503,-1.2910204,-1.3405442,3.446164,3.2832215,-2.2761567,-0.48687676,-1.7286532,3.468789,-3.4249177,-1.1408912,-2.696571,-1.5088546,-0.37326175,0.19103059,-1.6943902,-1.5009925,-1.9209449,1.0767592,-1.7961608,0.35532224,1.5748072,-0.33765656,-0.5569364,0.2749252,0.83749205,-0.06291163,1.1532717,-0.69688505,1.0196329,-1.2824272,-6.038132,0.7683871,-1.073199,-4.9139776,-0.6536528,-1.1031436,0.6870638,0.11710436,-3.8463402,3.3243673,1.7636478,-0.15995763,-2.145159,1.7670678,0.77364403,0.24741349,-1.2596067,-2.02895,-3.7508135,2.7594235,-1.0899674,-3.3341422,-0.80539703,-1.5585965,-4.647081,-3.947113,-1.1851904,-0.9443703,1.671463,-0.40825295,2.8075876,-0.3020797,0.29052472,-0.69784766,-0.57812303,1.9411461,1.7771775,-0.40671772,-3.147243,-0.7300259,-2.9149702,0.83694786,-1.6083293,2.624184,0.2500746,1.6874113,2.633642,-3.0741355,5.3846326,0.76787174,-0.027827404,-0.8240559,-5.365019,-0.85398465,-4.3115854,-0.56206965,-1.6933213,-3.0919733,1.009028,-1.2481452,1.5649983,-4.944977,-1.1521348,1.0687943,0.8475468,1.6842184,0.22774065,0.74761003,-6.059337,1.922862,0.87006253,0.14199953,-2.04826,-3.1514995,-0.25760677,-2.970884,4.0320306,-2.492864,-1.0208056,-2.898465,-2.812525,-2.872665,-1.2432399,2.951127,2.5703633,-5.3717384,-5.2083316,3.260349,0.34659192,0.795001,-1.2664591,2.3054373,-0.72476673,0.21468402,0.462633,2.5868294,-1.821807,1.9278779,1.4630735,-1.3782228,-0.70501614,-0.55758965,2.5883188,0.47168043,3.5629413,3.7350461,-0.9011895,BettyMcCollum04,D
-3.8712828,-1.1180476,1.6828624,-4.0560856,-0.09358045,3.343302,-1.4294647,-2.9563937,-1.7269603,-2.066013,1.3090074,-0.32913736,5.01585,-0.33072907,3.603939,-7.012765,3.6640618,-1.9935092,0.31608927,0.48359615,3.3278058,1.7782979,3.5550966,-4.1046195,-5.251094,-1.3280091,0.8235325,-1.485913,0.27442876,1.5256425,0.9166157,2.9484034,0.4427447,1.373297,1.8248037,-0.040627167,0.5609797,1.283555,0.038585577,1.1896527,-0.88139963,-5.006175,-0.018645668,1.653384,3.9017963,0.006334096,0.20690165,0.6466948,6.9125957,-1.5139381,-0.013969261,-1.3968054,-2.4753304,0.5500903,0.053164613,-0.04954996,0.5882403,-0.46548203,-3.0758564,1.5548897,1.0028038,0.87693423,0.27482828,-1.3442998,3.1662354,-2.574046,-2.8068926,0.48573187,-2.924794,-1.5106711,-1.9406153,3.4056673,-0.8817457,1.4042294,2.321778,-1.316649,-0.17949119,6.3223677,1.2990315,1.2140418,-5.7795997,0.48740503,0.011302673,-3.270908,2.5460262,1.3688768,-0.7119718,2.825886,3.2859497,4.017731,1.8140501,-1.161767,4.5531464,-0.39866698,2.3492217,1.14897,-0.116403684,0.5586134,-1.193318,-1.4247133,-6.564287,0.9497555,1.2512735,1.7164494,-0.6420859,-0.22274733,-3.974838,-0.558655,1.7259202,-1.1226941,-1.4487823,-2.7863946,0.7154752,-2.1000223,3.6906185,0.8734855,0.20823923,-0.31608602,-6.3029904,2.3227508,0.12057665,-2.2900703,-1.9735179,0.7182555,-2.8017106,0.41883728,-1.0946933,-0.10047856,0.31255883,-0.47499147,-4.66357,3.2303941,-1.969454,-1.6755255,0.6070144,1.9052327,-1.8647236,0.20791702,4.4739537,-2.1888545,-8.066471,-6.354967,0.9795104,-2.7867315,-2.2348187,-2.405505,-5.2115316,4.7147975,-3.242126,-5.538025,-0.2339999,2.656567,-1.1315416,0.71827924,-0.51518875,4.5118723,0.3388551,2.8686812,5.632697,-1.3628879,-1.5991645,-2.4959998,1.4960543,-1.3291781,0.3173069,0.16242726,1.0682342,3.2493362,-2.3106868,-1.8207631,0.49677515,2.7162948,-3.5010443,-1.3774031,0.7702362,2.0733883,-2.3072758,-2.9750698,-1.8990732,2.235006,3.8845918,-0.26432317,2.6478558,3.5730755,2.9214048,-1.4442502,-1.1210988,-3.8318849,-6.2897162,-5.7823305,-0.21062212,1.6767049,-3.6053119,-2.2441907,-1.4004061,-2.4666471,-1.945165,-1.2311112,-1.5063924,3.85479,BillPascrell,D
0.48580757,-3.2847188,0.54288775,-0.70813006,1.0795761,-1.7539886,-2.788985,3.876027,0.87661815,1.71586,-2.1791198,-2.2589831,0.7167779,-4.4840765,1.6892616,1.1939278,-1.0450469,0.008785651,4.1626534,1.2455474,1.4064225,-0.14397536,-1.7993147,0.83842057,-3.38722,0.5581772,0.24975698,-1.4017258,1.3433926,2.4108737,0.3396148,-1.6277057,0.25732937,-3.3643913,-0.019610235,0.84894633,-3.9436798,-0.44195417,1.91821,-1.3710763,-0.99226415,2.4180434,0.09328669,2.4272773,-3.3511662,-1.5279808,-0.6105924,-1.181755,-3.199748,2.486615,2.7798736,-1.8838311,-1.2294201,-3.1849113,2.457241,-2.9921174,-3.509685,-1.0712597,-1.3018097,-0.84092814,-1.5672796,4.8076525,-0.41466448,1.2169116,-2.3566184,1.5092955,5.0697994,-1.980652,-0.64239585,-0.49097124,-5.73845,1.3773872,-1.0434893,1.9684141,2.8737648,-0.48135474,0.26379356,-1.5840974,2.4019604,-1.1855068,2.836326,-0.77127385,0.601184,-3.1341808,-3.1650605,-2.2048943,2.801497,0.9670116,5.6918554,-0.28549173,2.2195287,1.6574216,0.546896,-2.2012143,-0.45996174,1.3013407,0.62656724,-2.4381387,2.3231707,-1.9632058,-0.04943129,4.4049215,0.10339227,2.3847678,-3.281592,0.64806575,1.9763486,-1.9830972,-3.7422452,-1.6210468,1.9713191,-3.6244729,-4.8004656,3.040215,-2.069234,0.65961725,-2.8233588,4.6021566,2.6801918,0.6349146,1.0080423,-0.79170084,-0.11973626,-1.1772926,3.211934,-1.4255865,1.9068438,-0.41982636,1.6973016,0.27733976,-1.3850389,-3.4596026,3.3800967,-3.1261303,-2.3688536,2.3019178,3.8570402,3.963196,0.086111605,3.849578,0.17283799,1.267544,5.3884773,2.93789,-1.3593928,-1.5883356,-0.8073193,-0.8011495,2.9813945,3.6070094,0.12784922,-0.13796495,1.86118,1.2332001,0.5551112,-1.5639383,0.27200782,1.9374998,-0.13685374,2.384591,-0.91203547,0.071470626,0.25088957,0.346803,3.2813067,0.1694267,-1.7430048,3.6560762,2.1261406,-1.9766257,4.9624043,0.7417371,-0.76567984,3.6413612,-0.78314084,0.6683144,-1.3725779,3.270541,-2.595136,2.0163894,1.8676895,-1.4966207,1.8758514,-2.5914104,2.4876924,5.0853376,-2.5885284,1.0544201,-0.9594055,1.7105137,-2.9448392,1.692789,1.2764846,-2.8956957,-0.94903827,-1.077686,-2.6333337,4.4292784,1.2097799,-1.6811368,BobbyScott,D
5.0338254,-0.5602561,1.2437209,2.282478,-0.64432114,-1.6695725,2.4258797,-0.25072825,-2.0296981,2.1320724,0.4886518,0.3585848,-0.20255983,-0.6956692,0.43890017,-2.8572373,2.4736514,2.119552,-0.74568886,-1.216671,0.8029203,-0.047575478,-1.357033,1.293486,-1.9162854,-1.9720434,0.045513615,-0.7213939,4.777888,0.38918608,-3.5948517,-1.3125799,1.5567297,-6.863702,2.2848663,-4.3515725,0.774323,4.2554526,2.2307832,1.215421,-1.7745805,-0.8870953,-3.733463,2.6420362,-2.012338,-1.1552815,-2.5563357,0.9339242,4.0072045,-2.0842016,-0.364029,0.6735003,-1.825151,0.37490922,-1.0680133,-0.17086177,2.6997352,-4.580701,0.5870035,-4.5261326,-1.0845965,-0.6062822,-1.0119345,3.8903284,1.8562865,3.5231662,-5.537359,0.24808472,4.9317813,1.3455671,-3.3466003,0.5003553,-0.057271477,0.5285827,2.286578,-3.796745,0.38169274,-1.6045649,0.02567563,-1.8786017,1.8994226,-0.33449203,-3.187922,4.0141277,-2.3746195,1.1607836,1.1708193,-3.526074,2.3589678,5.0049653,0.40442863,-2.8249128,4.1015334,-1.0158116,-6.160426,-8.176541,1.1871053,-2.2058241,-0.58955824,2.1991572,-3.4007819,-1.2966217,-1.6719847,1.8464504,-6.037272,-0.13708815,3.0319173,-3.236436,0.88540083,1.2739224,0.69430894,-0.799485,2.3390894,0.34376937,-3.7314088,-1.260794,0.5257687,-4.699513,0.7735914,-1.1075137,-0.10449719,-1.5226865,2.1074865,1.1662633,-0.078423314,-1.5446948,-1.1657329,1.9867285,-0.75185925,-1.105622,2.779989,1.0730611,-1.5938361,1.7612596,-0.31870097,0.8608834,-4.2920756,-1.7728446,-1.8640429,0.72830766,0.67513394,-2.8016958,1.9260682,-1.3353268,1.5550277,-0.9659561,1.0264578,1.5092773,-3.3942025,-0.9664254,2.894925,4.4117765,2.892811,-2.4893847,-0.30367944,-0.9118275,-3.8814285,1.0944765,-0.52223617,-3.2159262,-3.054534,3.276253,0.34749144,-1.7516482,-4.43133,2.7923465,-1.0173141,-7.2099566,-1.9883487,-1.2890962,-3.7511423,-0.683826,5.3524323,-1.7176869,0.8863573,-1.4826672,-0.089967765,0.71980995,0.7406274,2.7291594,0.17109677,-1.9580754,3.2983134,-0.10310424,-3.5986366,1.1602212,-0.07715056,1.4323418,1.2134893,1.4214728,-1.3855863,-0.9687824,0.74620783,1.6971709,3.5072699,0.12278525,5.119056,-1.1718411,0.7046315,-0.026601277,BradSherman,D
2.1256864,3.8092518,2.7417645,1.322852,-0.5435694,0.24506566,-0.641893,-0.6358506,-2.964415,1.8184222,0.7192162,-3.2201457,4.9583654,2.9067192,-2.480325,0.42622983,-1.3870959,-2.869713,2.3162372,1.6570108,0.37611014,-0.63066214,4.002939,-0.6777963,0.813233,4.577507,1.3012863,1.2705007,-1.4062533,2.875818,1.6515114,-3.2496407,-2.604146,-1.3618411,-2.6652405,1.9331057,1.6092829,-2.4172049,-3.801059,2.98739,-1.7526577,2.3279774,-1.9152337,-0.80782115,-0.8586345,-0.3565935,-1.7030494,-1.9929237,-2.4502375,-2.1955726,-0.8300187,-3.1151178,0.5193367,1.0978532,-4.2781754,-2.421418,0.5234842,-0.12932716,-3.4070039,-4.0912385,0.06842722,-3.8181393,-4.2289762,-4.011599,-1.3853424,0.09552072,3.4494505,0.20523956,3.5311983,-0.7126502,-1.553757,-2.120895,4.456316,-1.1872166,-3.7400515,0.05439204,-0.077592745,-2.4118829,-4.9458184,-1.6531357,0.6567401,1.5138967,-1.1262988,-0.19392253,4.9855566,0.42042628,1.686568,1.2237895,1.0068053,-2.936132,-1.4641484,-1.6955632,-4.5286126,-1.3033549,2.9690156,-0.548439,-2.0222063,-2.646178,0.5271227,-1.5609231,-0.38973996,6.279053,-1.3607355,-4.989044,0.3075298,3.1944246,1.5613378,-0.01383526,-1.0018682,4.6836677,0.86813504,-1.5493163,0.46803364,0.784741,1.8823539,-0.12493111,-0.8301748,-1.5486801,-3.5883017,-1.1590495,2.976267,-0.6946411,0.3862178,0.8931178,2.1122031,-0.50288916,1.2752578,-0.49435127,-1.4364818,-3.0716486,0.29948205,1.0478809,0.4245302,-0.738476,0.84061086,1.8513186,0.17763147,-1.7949233,-2.1756516,1.8434956,-0.679798,1.4898984,-5.3125086,1.709862,1.9162983,1.6023871,0.25164932,-3.3466346,1.4308493,0.6547301,1.925975,-5.160995,2.2362654,0.19260082,-2.6211765,5.2004485,-0.037430808,-0.25885558,2.1059797,-1.9720097,2.6792874,-0.0033047022,-0.2056435,4.086918,1.7665677,-3.8403738,0.9025081,-2.2280195,-0.019605534,-2.507091,-2.8148592,2.6211529,1.2500212,-1.876644,1.8247468,0.0004989782,0.93850535,2.5395985,-3.4105675,2.876233,-0.8791892,-1.0269916,-0.10196198,4.668301,-2.1537473,1.3301184,1.1286504,1.829999,0.8465768,-1.5097213,2.6880643,-0.6700891,-1.7497724,1.5118129,-1.6758765,4.4372044,0.7143597,3.6763053,1.2882702,-2.122461,Call_Me_Dutch,D
4.152361,3.0832105,-0.5424282,0.4212802,-1.207851,-0.81623477,-2.3973448,-1.2291224,2.0747283,-1.8755369,3.0385892,-2.3243816,-6.3681703,1.9456618,-2.8585565,1.4931061,0.73975325,-1.203565,-3.6335428,-2.3850777,-1.9636612,2.7210276,0.80212307,2.0869896,1.9734207,-2.4342027,1.8433338,2.408798,-4.2513547,2.0326195,-0.8390017,0.76980186,-1.9283613,0.9377509,0.07699135,-2.0879257,-0.8342768,1.7410966,2.9318154,1.790589,-2.861386,-0.13398997,-1.2870028,-0.8061905,0.50711226,0.8689098,-2.380125,2.0848823,3.7056308,0.2942694,0.8940491,-4.5049725,-4.123986,-5.4042883,-0.55901366,1.3728435,0.7607675,3.1564121,2.1710455,3.070273,-2.4186287,0.81806606,-1.7800295,2.9137025,-0.24683745,2.1944027,1.9570981,1.0830224,0.72303206,-2.721064,-0.5311367,-0.21519594,0.6823609,0.7255486,-3.3044677,0.88139606,2.2755654,0.40916136,-0.8795058,-3.5909321,0.39504728,-0.47972178,-0.861952,0.37838042,3.3979955,-1.3102777,2.4952512,-3.5023613,-7.6436505,-4.5568604,1.9174261,0.40835172,-1.6575564,-0.76443106,-4.3566113,-2.7719,1.1747001,-1.5395076,3.182557,1.893424,-0.19156411,-0.9609216,-0.24544807,-1.0314373,0.13989791,-2.6140013,-1.2389754,-0.16075718,2.9443455,-1.2200091,0.22054322,-4.5390587,2.116994,-2.9448185,-1.8733972,-1.1891304,-2.0733254,-0.46309382,-0.21076182,0.9553693,0.19050217,-1.502609,-0.4017928,1.4030454,3.7052207,1.714158,-0.31638217,1.0657883,0.4873175,1.2765998,2.6969452,3.9287639,-2.948006,2.4293625,1.2575446,2.089725,-1.6284891,3.2644818,-4.2837024,-0.3087146,-0.40453684,1.5692046,-1.2359986,-0.38502467,-0.94816387,-0.52063954,-2.1677415,0.80542594,-1.5220593,-0.09776624,1.3919244,2.6624577,3.97669,2.482414,0.86510056,-1.852048,-0.031115003,-2.6892943,2.1786776,-0.8262345,5.8431287,1.801977,-1.100318,4.8776855,-0.96601284,4.222764,-3.9100785,-0.45736566,-3.521093,1.9331526,3.1258624,0.22221021,-1.5478406,0.33798382,-0.6449017,1.1853527,-0.19897597,3.30343,3.3316834,-2.4035165,-2.4007745,-0.5785307,-2.4487863,0.7568319,-0.09848921,-3.4840765,-6.201455,-1.7601569,-1.052731,3.838916,2.220759,1.2385399,1.551614,0.06981807,4.1650505,0.55582076,1.4758766,1.8124242,0.12121742,-1.0889417,ChrisCoons,D
0.43524405,2.20767,-1.6635922,0.15366544,2.483957,1.1238078,-2.224194,-1.7697097,-2.2819107,-0.45138514,-3.801991,-1.8032676,0.0072771134,2.5956743,3.083183,-1.0319308,0.56310207,-1.6135651,-0.22014695,-0.24697538,-3.2592134,0.2095022,-0.74297374,-0.446709,2.5278933,-0.3839752,1.781363,-0.7456285,3.3990679,0.3134401,0.28774607,0.062135197,-0.031079276,-0.013114121,-0.9808904,-2.5666568,-2.0299363,-0.32007653,-0.37868336,2.9444897,0.7882074,-4.6281266,0.36893907,2.4725676,1.0112858,-1.4124382,-0.1889895,-2.7965975,-0.52280176,-0.59723186,0.978556,-1.0502182,0.6476501,-0.8823174,-0.567913,-4.1121955,-0.6059898,2.8040435,-3.2115364,-0.55890334,-2.662943,-2.7243,-0.26673606,-2.5647035,3.384196,2.35928,-0.06501946,-0.027945796,1.4937525,-0.21898597,0.6431435,-1.3549404,-0.3802006,-0.98988515,-2.451219,1.1621332,4.0455647,2.1194232,-3.3573685,-2.840924,-0.6512897,5.445158,-1.0287311,-2.3703368,0.5602237,1.4643586,-0.7439417,-0.04548591,4.525361,-0.8559102,0.21599564,3.7008026,3.1382751,2.6523185,1.8537347,-1.127647,1.1818975,-3.0995574,1.62234,-3.5055346,-2.7388284,0.71422625,-1.1154842,-0.52958316,3.5714066,-1.9363205,-0.21215683,-3.8492947,-2.290192,2.5517497,-0.78614646,-3.0856352,-2.6492834,1.3900006,-1.1182103,2.6647363,0.7576764,0.6631875,-1.2827839,0.30607283,-0.39550102,-1.7968138,0.79336524,0.041464087,-1.2693924,0.37899116,0.17166853,3.2260334,0.3513918,1.6200662,-1.7501594,0.15827928,1.796426,-0.94513315,0.27743158,0.15750402,3.0000176,-1.1109778,-3.232019,0.34334233,-0.8804521,-1.1234559,0.7092193,4.4110913,-0.14042243,-3.8514876,-0.6679369,-1.7904311,-5.961386,-2.4454741,0.9469041,1.2745721,-3.4534805,0.59475327,0.9457,-0.33067536,1.7104865,0.3306753,2.7324238,-1.1245867,2.0101738,2.185566,2.0272782,2.1705692,2.6851625,-0.4360583,-2.0510964,-0.00014264685,2.4569724,-2.9117026,-1.4916658,2.7782767,1.1419141,3.7817004,-0.9592188,2.8712382,0.35518894,0.9573601,-0.73581845,-1.6936198,-2.977275,1.6187115,-0.519809,3.8130066,0.70386785,-0.060614314,-2.3184133,-4.1699686,-1.2927016,-2.3100307,-1.1169367,-0.08997532,-1.5111881,-1.7691504,-4.6412,0.28132504,-0.3057362,3.3291943,2.6436648,-0.22510783,ChrisVanHollen,D
-0.22587948,0.5513682,-0.72200775,-7.8005433,-3.3340955,-3.2668302,1.8965244,4.1571116,0.7208339,3.5183382,-2.875532,-0.08959078,-6.3686414,0.3552902,-0.8023933,2.6506116,-6.5928345,-3.0192606,4.678404,-5.134954,-6.5026727,-6.5005746,-3.955365,-3.3780625,-5.850988,0.56190544,-0.7286235,-0.8575265,0.47503155,1.9543053,-1.5751656,2.725317,3.919683,-0.12127523,-3.513594,5.027423,2.3157177,-1.3278651,0.8947553,-2.10157,-3.035996,-2.1984153,-0.078346595,-5.3362374,0.44700775,7.0832815,1.5699369,-2.3036861,5.4924836,-0.99794114,3.8461828,2.362733,5.606589,-2.6750906,0.55843717,-1.7924659,-1.5262071,10.957573,-3.5434258,3.8068843,7.3737926,1.4733192,4.194813,0.758184,-5.8233347,-0.066407576,-5.505853,-0.25549322,-1.3266912,2.0488234,-0.37928343,-0.9962557,0.36566108,3.7733173,0.064281516,5.5737247,6.56801,1.8280697,-0.7323282,3.0233502,-5.512996,2.5588868,1.9711767,-5.808663,3.2225485,-4.4247804,-1.9550766,-3.831014,-2.7637706,-2.8257444,4.555338,3.020316,-2.7263536,1.6620077,5.1199875,1.028904,0.03542313,-0.7577072,0.35977536,0.84024334,-3.19162,-6.8042154,0.76484704,-6.427426,-3.5260022,4.7126203,-2.177969,1.6069466,3.26929,-3.6977513,-7.9778028,-1.7470129,2.9936907,-4.8809032,3.687539,-0.30602464,3.7640438,-1.0673276,0.46805844,-0.47444162,2.3497608,1.5348932,-2.075046,-0.015461158,-10.025455,1.5818571,-1.4363976,1.3325497,-3.7448106,7.642374,-6.5447245,0.4128735,-0.06341405,-4.6754494,-3.0338948,-0.5143747,1.8213774,-2.664557,3.4443817,-2.8506663,4.5370364,1.9259803,-0.89085895,4.0030823,0.5188753,-8.068452,-5.568373,-6.076814,-6.7215023,-1.5000116,-4.4952526,-3.3643317,-4.7912545,-4.984503,2.43405,5.335679,-3.372772,2.4134643,-1.4289961,0.52705175,-3.7578928,-0.5852509,2.7222834,0.2327756,0.20222217,4.5171375,-3.0580926,0.17718858,-1.1731443,-1.7909513,-1.7437443,1.2356161,-3.0706124,3.9815702,4.3917375,1.80198,2.99265,-3.514341,2.2217443,0.3182973,-2.9626238,1.3062644,-3.7287302,-0.12856002,4.113057,1.5507486,-0.29248482,1.7961202,-6.267424,4.0901976,-3.8462765,-2.626209,2.5081499,-1.2486924,0.21071517,-0.06577182,0.5228643,3.9585464,-0.9689076,-2.44157,ChuckGrassley,R
