word,score,end
responda,-0.3461670511766616,negative
michiganders,-0.328556394294256,negative
locks,-0.3276937894504462,negative
montana,-0.32609325839437436,negative
bettendorf,-0.31481171054588636,negative
reembolso,-0.31398193374543354,negative
granite,-0.3079610757244976,negative
processors,-0.30424161098149977,negative
haulers,-0.3019954460653148,negative
soo,-0.30046896090674613,negative
flexibilities,-0.2977914701365556,negative
kansans,-0.29217417005957674,negative
ethanol,-0.2890044903416638,negative
blending,-0.2872628580639074,negative
thomasville,-0.28652944556656246,negative
hollis,-0.28152946863945266,negative
pharmacists,-0.28148466311074355,negative
staters,-0.28110813098489335,negative
northdakota,-0.27765999619271764,negative
beef,-0.27469228530737255,negative
espaillat,0.5828807823622627,positive
personas,0.5385976002813244,positive
presidente,0.5314455258109013,positive
mas,0.49366282894939834,positive
invito,0.48915583432694176,positive
puedes,0.4887339582632693,positive
esta,0.48361700533310736,positive
este,0.4819565810512615,positive
grupos,0.47905285604298303,positive
nuevo,0.47762940254722325,positive
mientras,0.47665624692141384,positive
respuesta,0.4766361153730395,positive
ayuda,0.474549377405053,positive
pero,0.4738703591892449,positive
separacion,0.4723585993293355,positive
hablo,0.4714782969660123,positive
condeno,0.4698518011600412,positive
costo,0.4696273557598792,positive
vacunados,0.46894627182076726,positive
amigos,0.46849800150810106,positive
