"","x"
"0",-0.0792250024863853
"1",-0.0533859362370023
"2",0.011240521724403
"3",0.139123549641071
"4",0.0428916810969809
"5",0.0226302070170109
"6",-0.0278258570478369
"7",0.0126510873117114
"8",-0.0179530796758319
"9",0.0953825079270495
"10",0.0213003068348791
"11",-0.0325140615537549
"12",0.0763116219784388
"13",0.0667490950770411
"14",0.00814033001697919
"15",-0.0787430306804995
"16",0.052129753063191
"17",0.0529969021642018
"18",-0.00981588031254214
"19",0.11155335365966
"20",-0.0404518616708717
"21",-0.0933719702943035
"22",-0.0129120965440631
"23",0.107445960574364
"24",-0.0659976741485757
"25",-0.111096294223904
"26",0.0740427588738741
"27",-0.0812651930488615
"28",0.101028708012068
"29",-0.0783569428076509
"30",-0.00627810364913552
"31",-0.00223512904500435
"32",-0.0484442777614379
"33",-0.0361854836133598
"34",0.0214108971578131
"35",0.0795112462583532
"36",-0.0195870434306836
"37",-0.017692779134522
"38",-0.0353307980770913
"39",0.063428334780125
"40",0.0610257681057567
"41",-0.0150814679244605
"42",0.065309463977602
"43",0.147469372846619
"44",-0.0580173840059369
"45",0.0449102842514214
"46",-0.109970463059664
"47",0.0232061546723045
"48",0.109476787739071
"49",-0.0644295263534207
"50",-0.10287079135098
"51",0.0529466525030558
"52",0.08437881944473
"53",-0.00211078419900761
"54",-0.108131712962168
"55",0.124479940595924
"56",-0.0213225021642389
"57",-0.118774682767669
"58",-0.0130804551121185
"59",-0.00722007730002919
"60",-0.0408041862815996
"61",0.0713379850256226
"62",0.0577309735097552
"63",-0.0286014067485512
"64",0.0495424689236722
"65",-0.00440277379731801
"66",-0.113300110923559
"67",-0.0386638789982677
"68",-0.0663281785656545
"69",-0.00207368948160567
"70",0.111137456608029
"71",0.067534256158954
"72",-0.0252937492893156
"73",0.0467321772584531
"74",-0.0225421917218228
"75",0.0272299477850102
"76",0.0226013500165008
"77",0.0390148031625968
"78",0.113357968984956
"79",-0.0709112230848794
"80",-0.0547488185802391
"81",0.035353034342921
"82",0.0147947335545915
"83",0.0235858305713015
"84",-0.0916936236350834
"85",0.081156230420876
"86",0.0636528448795528
"87",0.00874738349891192
"88",0.0628784350909556
"89",0.121103396906132
"90",-0.0122153111719384
"91",-0.0220027306731486
"92",-0.0190264804878599
"93",0.125215624837761
"94",0.0361351335952775
"95",-0.0742253492285053
"96",0.105400371675763
"97",0.119162802006126
"98",-0.102791238649617
"99",-0.0981367545247313
"100",-0.0767210722645632
"101",0.0830553581590892
"102",-0.0669474576932732
"103",0.0848826791745187
"104",0.107113912196577
"105",0.0330216472841158
"106",0.0261345584024873
"107",-0.00959274482935191
"108",-0.0339705659543718
"109",-0.0962144774201766
"110",-0.0567184069668287
"111",0.0934502663737437
"112",-0.0524024039508803
"113",0.0631813182399375
"114",0.111088830477415
"115",-0.0080148207258948
"116",0.0686023752293617
"117",-0.109206727129628
"118",0.161076068623855
"119",0.0593753531636984
"120",0.0654229568304572
"121",0.07952989715286
"122",0.0522421850569612
"123",-0.0386901185679392
"124",0.0161430370082815
"125",0.0906985047584356
"126",-0.0421328150065211
"127",0.0546888250056464
"128",0.031997083769239
"129",-0.128136385203918
"130",-0.0854214782851131
"131",0.0806872997538822
"132",-0.136306817531637
"133",0.0894245203911218
"134",0.0645806750290682
"135",0.0808587490505104
"136",-0.0138833688285982
"137",0.0710694934187692
"138",-0.0217889679850966
"139",-0.0346082611384222
"140",-0.0246746048938057
"141",-0.0617072300905717
"142",-0.0178810321989393
"143",-0.0624544013882199
"144",-0.0867890945204543
"145",0.0887857181998159
"146",-0.021264325978818
"147",-0.0561656410131123
"148",-0.0718406058230619
"149",-0.00678207518756938
"150",-0.0115938314284111
"151",0.0401598908056274
"152",0.00826669210895249
"153",-0.0972641727775092
"154",-0.0317045429785534
"155",0.109690592643532
"156",-0.0373544302256592
"157",0.0886035696790463
"158",0.0215654454880368
"159",-0.140653710270347
"160",0.0135953696220165
"161",0.0495227519452177
"162",-0.071840446653195
"163",-0.0569217514086164
"164",-0.051636240048141
"165",-0.051250529745884
"166",0.12701221193552
"167",-0.0195451564895537
"168",0.0303294942732532
"169",0.0815532620802821
"170",-0.098225016281762
"171",0.0503577262345562
"172",0.0395156476739487
"173",-0.204345857141071
"174",-0.0696897138927712
"175",-0.106254356536296
"176",-0.0267972442701475
"177",-0.114576818737319
"178",-0.0159534590988814
"179",0.0941997766232483
"180",0.139180797201795
"181",-0.0382983017169172
"182",-0.0368260865124176
"183",-0.0535894850963328
"184",0.0984367377771642
"185",0.0744160488256482
"186",0.0969381199593582
"187",0.0077173579913893
"188",0.0237837598456594
"189",-0.025495261223864
"190",0.0307176971646237
"191",0.0610889247173047
"192",-0.0129834900747003
"193",0.028522848024533
"194",0.0123771611793078
"195",-0.135367990905874
"196",0.0201366278590716
"197",-0.0271491267356642
"198",-0.0247722210302099
"199",0.00475200698072792
